,original,matches,match_count
66,"Arrington, Jodey C.",[],0
67,"Ashbrook, Jean",[],0
68,"Ashbrook, John M.",[],0
69,"Ashcroft, John",['John Ashcroft'],1
70,"Ashford, Brad",['Brad Ashford'],1
71,"Ashley, Thomas L.",[],0
72,"Aspin, Les",['Les Aspin'],1
73,"Atkins, Chester G.",[],0
74,"Atkinson, Eugene V.",[],0
75,"Auchincloss, Jake",['Jake Auchincloss'],1
76,"AuCoin, Les",['Les AuCoin'],1
77,"Austria, Steve",['Steve Austria'],1
78,"Axne, Cynthia",[],0
79,"Ayotte, Kelly",['Kelly Ayotte'],1
80,"Babin, Brian",['Brian Babin'],1
81,"Baca, Joe",['Joe Bock'],1
82,"Bacchus, Jim",['Jim Bacchus'],1
83,"Bachmann, Michele",['Michele Bachmann'],1
84,"Bachus, Spencer",['Spencer Bachus'],1
85,"Bacon, Don",['Dan Becan'],1
86,"Badham, Robert E.",[],0
87,"Badillo, Herman",[],0
88,"Baesler, Scotty",[],0
89,"Bailey, Donald A.",[],0
90,"Bailey, Wendell",[],0
91,"Baird, Brian",['Brian Baird'],1
92,"Baird, James R.",[],0
93,"Baker, Bill",[],0
94,"Baker, Howard H., Jr.",[],0
95,"Baker, LaMar",[],0
96,"Baker, Richard H.",['Richard Baker'],1
97,"Baldacci, John Elias",[],0
98,"Balderson, Troy",['Troy Balderson'],1
99,"Baldus, Alvin J.",[],0
100,"Baldwin, Tammy",['Tammy Baldwin'],1
101,"Baldwin, Tammy",['Tammy Baldwin'],1
102,"Balint, Becca",['Becca Balint'],1
103,"Ballance, Frank W., Jr.","['Frank Ballance, Jr.']",1
104,"Ballenger, Cass",['Cass Ballenger'],1
105,"Banks, Jim",['Jim Banks'],1
106,"Banks, Jim",['Jim Banks'],1
107,"Barber, Ron",['Ron Barber'],1
108,"Barca, Peter",['Peter Barca'],1
109,"Barcia, James A.",[],0
110,"Barkley, Dean M.",[],0
111,"Barletta, Lou",['Lou Barletta'],1
112,"Barlow, Tom",[],0
113,"Barnard, Doug, Jr.",[],0
114,"Barnes, Michael D.",[],0
115,"Barr, Andy",['Andy Barr'],1
116,"Barr, Bob",['Bibie Boerio'],1
117,"Barragán, Nanette Diaz",[],0
118,"Barrasso, John",['John Barrasso'],1
119,"Barrett, Bill",['Bill Barrett'],1
120,"Barrett, J. Gresham",['J. Gresham Barrett'],1
121,"Barrett, Thomas M.",[],0
